TAXON_ERROR;TAXON_NEW;Included in ERL 2024
Chrysotoxum cisalpinum;Chrysotoxum cisalpinum;Yes
Chrysotoxum clausseni;Chrysotoxum clausseni;No
Chrysotoxum elegans;Chrysotoxum elegans;Yes
Chrysotoxum fasciatum;Chrysotoxum arcuatum;Yes
Chrysotoxum fasciolatum;Chrysotoxum fasciolatum;Yes
Chrysotoxum festivum;Chrysotoxum festivum;Yes
Chrysotoxum festivum (tomen;-;No
Chrysotoxum gracile;Chrysotoxum gracile;Yes
Chrysotoxum hispanicum;Chrysotoxum hispanicum;No
Chrysotoxum intermedium;Chrysotoxum intermedium;Yes
Chrysotoxum intermedium A;Chrysotoxum intermedium;Yes
Chrysotoxum intermedium B;Chrysotoxum lunulatum;Yes
Chrysotoxum latifasciatum;Chrysotoxum octomaculatum;Yes
Chrysotoxum lessonae;Chrysotoxum lessonae;Yes
Chrysotoxum lineare;Chrysotoxum lineare;Yes
Chrysotoxum Meigen,;-;No
Chrysotoxum montanum;Chrysotoxum montanum;Yes
Chrysotoxum octomaculatum;Chrysotoxum octomaculatum;Yes
Chrysotoxum orthostylum;Chrysotoxum orthostylum;Yes
Chrysotoxum parmense;Chrysotoxum parmense;Yes
Chrysotoxum scutelatum;Chrysotoxum cautum;Yes
Chrysotoxum scutellatum ?;-;No
Chrysotoxum sp;-;No
Chrysotoxum sp nov Vujic;-;No
Chrysotoxum sp.;-;No
Chrysotoxum sp.?;-;No
Chrysotoxum sp.2;-;No
Chrysotoxum sp.3;-;No
Chrysotoxum sp.4;-;No
Chrysotoxum sp?;-;No
"Chrysotoxum spec. (cf. ""ort";-;No
Chrysotoxum spp.;-;No
Chrysotoxum tomentosum;Chrysotoxum tomentosum;Yes
Chrysotoxum triarcuatum;Chrysotoxum triarcuatum;Yes
Chrysotoxum vernale;Chrysotoxum vernale;Yes
Chrysotoxum vernale sp1;-;No
Chrysotoxum verralli;Chrysotoxum verralli;Yes
Chrysotoxum volaticum;Chrysotoxum volaticum;Yes
Claussenia hispanica;Claussenia hispanica;Yes
clavatus;-;No
Cnemodon flu6.manus;Neocnemodon fulvimanus;Yes
Cnemodon fulvimanus;Neocnemodon fulvimanus;Yes
Conosyrphus volucellinus;-;No
constans;-;No
Copestylum melleum;Copestylum melleum;Yes
crassus;-;No
Criorhina;-;No
Criorhina berberina;Matsumyia berberina;Yes
Criorhina floccosa;Criorhina floccosa;Yes
Criorhina asilica;Criorhina asilica;Yes
Criorhina berberina;Matsumyia berberina;Yes
Criorhina floccosa;Criorhina floccosa;Yes
Criorhina ranunculi;Criorhina ranunculi;Yes
Criorhina asilica;Criorhina asilica;Yes
Criorhina berberina;Matsumyia berberina;Yes
Criorhina brevipila;Criorhina brevipila;No
Criorhina floccosa;Criorhina floccosa;Yes
Criorhina Meigen,;-;No
Criorhina pachymera;Criorhina pachymera;Yes
Criorhina ranunculi;Criorhina ranunculi;Yes
Cryptopipiza notabila;Cryptopipiza notabila;Yes
Dasysirphus tricinctus;Dasysyrphus tricinctus;Yes
Dasysyrphus;-;No
Dasysyrphus albostriatus;Dasysyrphus albostriatus;Yes
Dasysyrphus friuliensis;Dasysyrphus friuliensis;Yes
Dasysyrphus hilaris;Dasysyrphus hilaris;Yes
Dasysyrphus pinastri;Dasysyrphus pinastri;Yes
Dasysyrphus venustus;Dasysyrphus venustus;Yes
Dasysyrphus aff. hilaris;-;No
Dasysyrphus albostriatus;Dasysyrphus albostriatus;Yes
Dasysyrphus arcuatus;Dasysyrphus venustus;Yes
Dasysyrphus eggeri;Dasysyrphus eggeri;Yes
Dasysyrphus friuliensis;Dasysyrphus friuliensis;Yes
Dasysyrphus hilaris;Dasysyrphus hilaris;Yes
Dasysyrphus laskai;Dasysyrphus laskai;No
Dasysyrphus lenensis;Dasysyrphus lenensis;Yes
Dasysyrphus lunulatus;Dasysyrphus pinastri;Yes
Dasysyrphus neovenustus;Dasysyrphus neovenustus;Yes
Dasysyrphus nigricornis;Dasysyrphus nigricornis;Yes
Dasysyrphus obscuratus;Dasysyrphus nigricornis;Yes
Dasysyrphus pauxillus;Dasysyrphus pauxillus;Yes
Dasysyrphus pinastri;Dasysyrphus pinastri;Yes
Dasysyrphus postcalviger;Dasysyrphus postclaviger;Yes
Dasysyrphus postclaviger;Dasysyrphus postclaviger;Yes
Dasysyrphus sp;-;No
Dasysyrphus sp.;-;No
Dasysyrphus tricinctus;Dasysyrphus tricinctus;Yes
Dasysyrphus venustus;Dasysyrphus venustus;Yes
Didea;-;No
Didea alneti;Didea alneti;Yes
Didea fasciata;Didea fasciata;Yes
Didea alneti;Didea alneti;Yes
Didea anleti;Didea alneti;Yes
Didea annulipes;Megasyrphus erraticus;Yes
Didea erratica;Megasyrphus erraticus;Yes
Didea fasciata;Didea fasciata;Yes
Didea intermedia;Didea intermedia;Yes
Didea sp.;-;No
Doros destillatorius;Doros destillatorius;Yes
Doros profuges;Doros profuges;Yes
Doros conopseus;Doros profuges;Yes
Doros destillatorius;Doros destillatorius;Yes
Doros profuges;Doros profuges;Yes
Eoseristalis abusivus;Eristalis abusiva;Yes
Eoseristalis anthophorina;Eristalis anthophorina;Yes
Eoseristalis arbustorum;Eristalis arbustorum;Yes
Eoseristalis cryptarum;Eristalis cryptarum;Yes
Eoseristalis fratercula;Eristalis fratercula;Yes
Eoseristalis gomojunovae;Eristalis gomojunovae;Yes
Eoseristalis hirta;Eristalis hirta;Yes
Eoseristalis hirtus;Eristalis hirta;Yes
Eoseristalis intricaria;Eristalis intricaria;Yes
Eoseristalis jugorum;Eristalis jugorum;Yes
Eoseristalis nemorum;Eristalis nemorum;Yes
Eoseristalis obscura;Eristalis obscura;Yes
Eoseristalis obscurus;Eristalis obscura;Yes
Eoseristalis oestracea;Eristalis oestracea;Yes
Eoseristalis pertinax;Eristalis pertinax;Yes
Eoseristalis picea;Eristalis picea;Yes
Eoseristalis rossicus;Eristalis rossica;Yes
Eoseristalis rupium;Eristalis rupium;Yes
Ephistrophella euchroma;Epistrophella euchroma;Yes
Epistrophe;-;No
Epistrophe eligans;Epistrophe eligans;Yes
Epistrophe diaphana;Epistrophe diaphana;Yes
Epistrophe eligans;Epistrophe eligans;Yes
Epistrophe euchroma;Epistrophella euchroma;Yes
Epistrophe flava;Epistrophe flava;Yes
Epistrophe grossulariae;Epistrophe grossulariae;Yes
Epistrophe leiopthalma;Epistrophe leiophthalma;Yes
Epistrophe melanostoma;Epistrophe melanostoma;Yes
Epistrophe nitidicollis;Epistrophe nitidicollis;Yes
Epistrophe annulitarsis;Epistrophe annulitarsis;Yes
Epistrophe cryptica;Epistrophe cryptica;Yes
